#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_37469_length_8385_cov_86.056360:241-6717      -            726 9010at7898           -           1033         0 1362.6   9.0   1   2         0         0 1091.6   5.5    83   602     1   534     1   546 0.98 -
NODE_37469_length_8385_cov_86.056360:241-6717      -            726 9010at7898           -           1033         0 1362.6   9.0   2   2   3.8e-83   1.7e-81  272.6   0.1   601   742   579   726   561   726 0.95 -
NODE_115352_length_3377_cov_37.145516:639-2015     -            459 9010at7898           -           1033   1.1e-19   68.0  34.1   1   3   5.3e-08   2.4e-06   23.8  11.7    38   186    38   189    27   191 0.81 -
NODE_115352_length_3377_cov_37.145516:639-2015     -            459 9010at7898           -           1033   1.1e-19   68.0  34.1   2   3     2e-11   9.1e-10   35.1   6.4    89   211   163   286   162   299 0.86 -
NODE_115352_length_3377_cov_37.145516:639-2015     -            459 9010at7898           -           1033   1.1e-19   68.0  34.1   3   3   5.7e-09   2.6e-07   27.0   3.7    31   137   295   404   287   420 0.83 -
NODE_7181_length_16326_cov_36.666913:8826-11273    -            816 9010at7898           -           1033   1.8e-19   67.2  17.6   1   2      0.03       1.4    4.7   0.1    93   173   449   529   408   537 0.75 -
NODE_7181_length_16326_cov_36.666913:8826-11273    -            816 9010at7898           -           1033   1.8e-19   67.2  17.6   2   2   2.1e-20   9.5e-19   64.8  14.5   102   374   505   786   497   791 0.81 -
NODE_75688_length_5169_cov_32.140237:3526-4203     -            226 9010at7898           -           1033   2.4e-19   66.8  12.1   1   1   1.5e-20   6.9e-19   65.3  12.1    25   209    32   209    13   226 0.87 -
NODE_69571_length_5544_cov_33.513682:1645-4587     -            981 9010at7898           -           1033   4.9e-19   65.8  44.0   1   6      0.83        38   -0.1   0.1   154   182    31    59     9    86 0.70 -
NODE_69571_length_5544_cov_33.513682:1645-4587     -            981 9010at7898           -           1033   4.9e-19   65.8  44.0   2   6   8.4e-10   3.9e-08   29.7   4.6    31   161    83   217    65   225 0.83 -
NODE_69571_length_5544_cov_33.513682:1645-4587     -            981 9010at7898           -           1033   4.9e-19   65.8  44.0   3   6    0.0053      0.24    7.2   5.1   121   279   241   396   233   405 0.77 -
NODE_69571_length_5544_cov_33.513682:1645-4587     -            981 9010at7898           -           1033   4.9e-19   65.8  44.0   4   6     2e-06   9.3e-05   18.5   0.4   107   186   435   517   413   521 0.83 -
NODE_69571_length_5544_cov_33.513682:1645-4587     -            981 9010at7898           -           1033   4.9e-19   65.8  44.0   5   6   5.4e-06   0.00025   17.1   2.5   102   188   533   626   522   636 0.84 -
NODE_69571_length_5544_cov_33.513682:1645-4587     -            981 9010at7898           -           1033   4.9e-19   65.8  44.0   6   6   2.8e-05    0.0013   14.7   0.9   105   184   639   724   632   735 0.74 -
NODE_10979_length_14284_cov_39.009165:314-2719     -            269 9010at7898           -           1033   6.5e-19   65.4   7.1   1   2   1.4e-19   6.6e-18   62.1   7.0    26   217    39   225    33   233 0.88 -
NODE_10979_length_14284_cov_39.009165:314-2719     -            269 9010at7898           -           1033   6.5e-19   65.4   7.1   2   2     0.017      0.76    5.6   0.1    96   127   200   231   194   257 0.58 -
NODE_26695_length_9989_cov_33.616582:799-8176      -            383 9010at7898           -           1033   6.9e-19   65.3  14.0   1   3   3.7e-12   1.7e-10   37.5   0.8   265   368     2   104     1   110 0.89 -
NODE_26695_length_9989_cov_33.616582:799-8176      -            383 9010at7898           -           1033   6.9e-19   65.3  14.0   2   3   3.1e-09   1.4e-07   27.8   1.5    92   209   191   310   172   314 0.79 -
NODE_26695_length_9989_cov_33.616582:799-8176      -            383 9010at7898           -           1033   6.9e-19   65.3  14.0   3   3   0.00046     0.021   10.7   0.4   111   186   283   358   280   373 0.75 -
NODE_45485_length_7490_cov_33.389934:3873-6807     -            339 9010at7898           -           1033     4e-18   62.8  16.7   1   3   1.1e-09   5.3e-08   29.3   0.1   240   368    69   198    58   208 0.86 -
NODE_45485_length_7490_cov_33.389934:3873-6807     -            339 9010at7898           -           1033     4e-18   62.8  16.7   2   3   1.5e-10   6.7e-09   32.2   3.4    35   176   141   281   138   287 0.66 -
NODE_45485_length_7490_cov_33.389934:3873-6807     -            339 9010at7898           -           1033     4e-18   62.8  16.7   3   3   4.2e-08   1.9e-06   24.1   1.4   106   177   209   282   203   328 0.64 -
NODE_109262_length_3602_cov_35.996860:808-3078     -            757 9010at7898           -           1033   8.3e-17   58.4  20.4   1   1   4.3e-18     2e-16   57.2  20.4    44   373   388   725   350   730 0.84 -
NODE_70777_length_5472_cov_40.834543:1221-3503     -            761 9010at7898           -           1033   9.9e-17   58.2  18.6   1   3     4e-06   0.00019   17.5   6.8   143   350   373   587   344   594 0.73 -
NODE_70777_length_5472_cov_40.834543:1221-3503     -            761 9010at7898           -           1033   9.9e-17   58.2  18.6   2   3   1.8e-10   8.2e-09   32.0   1.5   226   299   604   677   592   679 0.93 -
NODE_70777_length_5472_cov_40.834543:1221-3503     -            761 9010at7898           -           1033   9.9e-17   58.2  18.6   3   3   1.1e-05   0.00053   16.0   0.1   228   306   675   753   675   759 0.85 -
NODE_3505_length_20007_cov_36.410137:146-1787      -            388 9010at7898           -           1033   1.1e-16   58.0  14.2   1   2   8.8e-14     4e-12   42.9   8.1   235   360    43   167    28   170 0.90 -
NODE_3505_length_20007_cov_36.410137:146-1787      -            388 9010at7898           -           1033   1.1e-16   58.0  14.2   2   2   1.2e-06   5.4e-05   19.3   0.6    79   140   166   225   162   238 0.84 -
NODE_53806_length_6712_cov_21.270830:884-2455      -            524 9010at7898           -           1033   1.3e-16   57.7   7.1   1   1   4.4e-17     2e-15   53.8   6.9    36   285    70   328    64   335 0.79 -
NODE_11702_length_13978_cov_35.882052:1352-4210    -            953 9010at7898           -           1033   2.4e-16   56.9  53.6   1   3   3.2e-13   1.5e-11   41.0  17.6   104   295    60   261    47   270 0.84 -
NODE_11702_length_13978_cov_35.882052:1352-4210    -            953 9010at7898           -           1033   2.4e-16   56.9  53.6   2   3   5.4e-05    0.0025   13.8  16.4    68   297   293   537   283   544 0.71 -
NODE_11702_length_13978_cov_35.882052:1352-4210    -            953 9010at7898           -           1033   2.4e-16   56.9  53.6   3   3   8.1e-07   3.7e-05   19.8  22.8    57   371   357   693   356   707 0.79 -
NODE_18071_length_11878_cov_23.012650:2165-3667    -            501 9010at7898           -           1033   1.1e-15   54.6   8.0   1   1   1.3e-16     6e-15   52.3   8.4    53   287    56   298    38   309 0.83 -
NODE_6879_length_16520_cov_33.048414:3919-5280     -            454 9010at7898           -           1033   1.2e-15   54.6   3.9   1   1   3.5e-17   1.6e-15   54.2   3.9    29   169    71   214    40   226 0.86 -
NODE_20543_length_11245_cov_114.029786:8636-10216  -            527 9010at7898           -           1033   4.5e-15   52.7   4.5   1   1   1.7e-16   7.9e-15   51.9   4.5    46   289    53   305    31   339 0.84 -
NODE_19400_length_11530_cov_28.480448:5491-8699    -            678 9010at7898           -           1033   6.4e-15   52.2   3.2   1   1     2e-16     9e-15   51.7   3.2    26   169    68   214    38   223 0.84 -
NODE_39804_length_8107_cov_37.475774:6687-7544     -            286 9010at7898           -           1033   1.2e-14   51.3  26.5   1   2   3.1e-11   1.4e-09   34.5  15.6    84   289    14   228     2   230 0.77 -
NODE_39804_length_8107_cov_37.475774:6687-7544     -            286 9010at7898           -           1033   1.2e-14   51.3  26.5   2   2   7.2e-10   3.3e-08   29.9   3.1   103   185   200   284   195   286 0.87 -
NODE_23704_length_10549_cov_26.026699:2008-3384    -            459 9010at7898           -           1033   2.4e-14   50.3  10.8   1   2   2.3e-09     1e-07   28.3   2.6   120   189    69   139    49   148 0.87 -
NODE_23704_length_10549_cov_26.026699:2008-3384    -            459 9010at7898           -           1033   2.4e-14   50.3  10.8   2   2   6.5e-09     3e-07   26.8   1.5   106   170   151   216   141   267 0.74 -
NODE_104306_length_3794_cov_27.098241:1209-2522    -            438 9010at7898           -           1033     3e-14   50.0  42.6   1   3   2.8e-08   1.3e-06   24.7  10.4    96   209    67   181    30   193 0.83 -
NODE_104306_length_3794_cov_27.098241:1209-2522    -            438 9010at7898           -           1033     3e-14   50.0  42.6   2   3   1.2e-12   5.4e-11   39.2  24.2    33   282    75   332    68   342 0.86 -
NODE_104306_length_3794_cov_27.098241:1209-2522    -            438 9010at7898           -           1033     3e-14   50.0  42.6   3   3    0.0031      0.14    8.0   0.4   128   185   338   395   331   400 0.74 -
NODE_100411_length_3951_cov_30.555036:741-1952     -            404 9010at7898           -           1033   1.1e-13   48.1  21.7   1   3    0.0016     0.071    9.0   0.1   137   187     5    56     1    63 0.73 -
NODE_100411_length_3951_cov_30.555036:741-1952     -            404 9010at7898           -           1033   1.1e-13   48.1  21.7   2   3   1.8e-09   8.2e-08   28.6   1.2    27   185    61   222    56   228 0.84 -
NODE_100411_length_3951_cov_30.555036:741-1952     -            404 9010at7898           -           1033   1.1e-13   48.1  21.7   3   3   2.7e-09   1.2e-07   28.0   9.4    32   187   162   320   157   329 0.85 -
NODE_142113_length_2532_cov_2.099055:995-1654      -            220 9010at7898           -           1033   1.3e-13   47.9   5.8   1   1   4.9e-15   2.3e-13   47.0   5.8   157   343    26   214     2   219 0.73 -
NODE_17231_length_12114_cov_37.368373:4588-10096   -            821 9010at7898           -           1033   1.6e-13   47.5  10.5   1   2     0.025       1.2    5.0   0.1   165   253   455   547   448   562 0.69 -
NODE_17231_length_12114_cov_37.368373:4588-10096   -            821 9010at7898           -           1033   1.6e-13   47.5  10.5   2   2   4.7e-14   2.2e-12   43.8   7.0    22   186   623   787   602   793 0.88 -
NODE_33010_length_8981_cov_37.450236:3914-5302     -            463 9010at7898           -           1033     2e-13   47.2   7.7   1   2     5e-14   2.3e-12   43.7   8.5    27   169    69   213    51   230 0.86 -
NODE_33010_length_8981_cov_37.450236:3914-5302     -            463 9010at7898           -           1033     2e-13   47.2   7.7   2   2       2.5   1.2e+02   -1.6   0.0   440   496   393   451   381   453 0.84 -
NODE_38423_length_8266_cov_40.419126:1407-4037     -            877 9010at7898           -           1033   3.1e-13   46.6  39.0   1   3   4.7e-05    0.0022   14.0   5.1   109   208     5   106     2   120 0.71 -
NODE_38423_length_8266_cov_40.419126:1407-4037     -            877 9010at7898           -           1033   3.1e-13   46.6  39.0   2   3   1.2e-07   5.7e-06   22.5  20.3    32   298    95   378    91   387 0.77 -
NODE_38423_length_8266_cov_40.419126:1407-4037     -            877 9010at7898           -           1033   3.1e-13   46.6  39.0   3   3   1.2e-06   5.3e-05   19.3   2.0   103   300   389   608   384   623 0.75 -
NODE_4893_length_18222_cov_67.341224:9144-10517    -            458 9010at7898           -           1033   3.7e-13   46.3   7.7   1   2   3.2e-07   1.5e-05   21.2   1.6   109   189    56   138    45   148 0.79 -
NODE_4893_length_18222_cov_67.341224:9144-10517    -            458 9010at7898           -           1033   3.7e-13   46.3   7.7   2   2   1.6e-09   7.2e-08   28.8   0.4   107   169   151   214   140   226 0.88 -
NODE_65317_length_5829_cov_77.366667:3162-4547     -            462 9010at7898           -           1033   3.7e-13   46.3   6.5   1   1   1.7e-14   7.7e-13   45.3   6.4    30   169    53   195    30   239 0.86 -
NODE_17938_length_11911_cov_33.908229:3553-4491    -            313 9010at7898           -           1033   3.8e-13   46.3  12.0   1   2   0.00015     0.007   12.3   2.4    87   186     6   106     2   108 0.85 -
NODE_17938_length_11911_cov_33.908229:3553-4491    -            313 9010at7898           -           1033   3.8e-13   46.3  12.0   2   2     1e-13   4.6e-12   42.7   5.4     5   203    65   272    61   294 0.83 -
NODE_56018_length_6526_cov_31.414813:2924-4300     -            459 9010at7898           -           1033   4.9e-13   45.9   9.7   1   2   1.1e-08   4.9e-07   26.1   2.6   120   187    69   137    46   151 0.87 -
NODE_56018_length_6526_cov_31.414813:2924-4300     -            459 9010at7898           -           1033   4.9e-13   45.9   9.7   2   2   3.2e-08   1.5e-06   24.5   0.7   107   169   152   215   141   236 0.89 -
NODE_39250_length_8169_cov_21.181537:4666-5298     -            211 9010at7898           -           1033   5.9e-13   45.7   2.9   1   1   5.7e-14   2.6e-12   43.5   2.8    41   364     7   168     2   180 0.51 -
NODE_66729_length_5730_cov_38.914580:4740-5600     -            287 9010at7898           -           1033   6.3e-13   45.6  14.8   1   2   1.5e-07   6.7e-06   22.3   3.1   267   365    33   130    24   133 0.64 -
NODE_66729_length_5730_cov_38.914580:4740-5600     -            287 9010at7898           -           1033   6.3e-13   45.6  14.8   2   2   8.8e-12     4e-10   36.3   4.0   229   373    64   207    63   218 0.93 -
NODE_37906_length_8330_cov_35.407727:1186-3033     -            364 9010at7898           -           1033     9e-13   45.1   8.5   1   2   8.4e-07   3.8e-05   19.8   1.3    80   178   107   204    86   222 0.78 -
NODE_37906_length_8330_cov_35.407727:1186-3033     -            364 9010at7898           -           1033     9e-13   45.1   8.5   2   2   1.3e-10   5.8e-09   32.4   4.5    14   173   183   337   179   341 0.82 -
NODE_2597_length_21505_cov_44.728627:18079-19932   -            618 9010at7898           -           1033   1.2e-12   44.6  34.7   1   4     8e-06   0.00037   16.6   3.5    56   187    20   157     2   161 0.77 -
NODE_2597_length_21505_cov_44.728627:18079-19932   -            618 9010at7898           -           1033   1.2e-12   44.6  34.7   2   4   4.3e-07     2e-05   20.8   4.6   102   217   165   279   158   293 0.83 -
NODE_2597_length_21505_cov_44.728627:18079-19932   -            618 9010at7898           -           1033   1.2e-12   44.6  34.7   3   4   1.5e-05   0.00069   15.6   3.3    72   163   308   401   284   410 0.79 -
NODE_2597_length_21505_cov_44.728627:18079-19932   -            618 9010at7898           -           1033   1.2e-12   44.6  34.7   4   4    0.0022       0.1    8.5   1.0   150   257   423   532   410   536 0.85 -
NODE_50190_length_7031_cov_31.070254:1368-2540     -            391 9010at7898           -           1033   1.6e-12   44.2  10.9   1   2   9.7e-07   4.5e-05   19.6   0.1   238   366    39   171    25   182 0.78 -
NODE_50190_length_7031_cov_31.070254:1368-2540     -            391 9010at7898           -           1033   1.6e-12   44.2  10.9   2   2   2.3e-08     1e-06   25.0   7.7   101   250   182   340   171   354 0.73 -
NODE_61703_length_6085_cov_30.489977:1776-3233     -            486 9010at7898           -           1033   1.7e-12   44.1  17.2   1   3   1.3e-07   5.8e-06   22.5   0.2   264   371    14   123     5   151 0.83 -
NODE_61703_length_6085_cov_30.489977:1776-3233     -            486 9010at7898           -           1033   1.7e-12   44.1  17.2   2   3   0.00016    0.0072   12.3   0.6   239   299   273   335   252   347 0.77 -
NODE_61703_length_6085_cov_30.489977:1776-3233     -            486 9010at7898           -           1033   1.7e-12   44.1  17.2   3   3   8.1e-06   0.00037   16.5   5.5   128   205   347   425   341   433 0.88 -
NODE_52158_length_6852_cov_30.433437:525-5359      -            905 9010at7898           -           1033     2e-12   43.9  25.7   1   4   8.3e-09   3.8e-07   26.4   2.8    59   214    33   187    17   235 0.78 -
NODE_52158_length_6852_cov_30.433437:525-5359      -            905 9010at7898           -           1033     2e-12   43.9  25.7   2   4     0.093       4.3    3.1   0.6   125   279   273   315   215   388 0.66 -
NODE_52158_length_6852_cov_30.433437:525-5359      -            905 9010at7898           -           1033     2e-12   43.9  25.7   3   4   6.4e-06   0.00029   16.9   2.1     8   141   407   545   400   551 0.78 -
NODE_52158_length_6852_cov_30.433437:525-5359      -            905 9010at7898           -           1033     2e-12   43.9  25.7   4   4   0.00019    0.0086   12.0   0.4   103   185   562   647   543   652 0.73 -
NODE_94071_length_4226_cov_26.956142:1845-2261     -            139 9010at7898           -           1033   3.3e-12   43.2   2.2   1   1   8.6e-14   3.9e-12   42.9   2.2   227   349    11   134     2   138 0.91 -
NODE_78327_length_5022_cov_27.111111:2261-3067     -            269 9010at7898           -           1033   1.2e-11   41.3  15.6   1   1   5.4e-12   2.5e-10   37.0  15.3    29   209    41   224    39   252 0.86 -
NODE_4365_length_18783_cov_37.856080:16340-17434   -            338 9010at7898           -           1033   1.5e-11   41.0  12.1   1   3    0.0065       0.3    6.9   0.3   132   185    73   129    57   137 0.64 -
NODE_4365_length_18783_cov_37.856080:16340-17434   -            338 9010at7898           -           1033   1.5e-11   41.0  12.1   2   3   1.5e-09   6.9e-08   28.9   0.9    57   164   140   246   132   254 0.89 -
NODE_4365_length_18783_cov_37.856080:16340-17434   -            338 9010at7898           -           1033   1.5e-11   41.0  12.1   3   3   0.00013    0.0059   12.6   0.3   146   217   254   326   247   334 0.69 -
NODE_29319_length_9538_cov_74.901155:7628-8512     -            295 9010at7898           -           1033   1.7e-11   40.8   6.4   1   1   4.8e-13   2.2e-11   40.4   6.4   108   342     2   244     1   258 0.80 -
NODE_16084_length_12443_cov_40.389663:1719-3116    -            466 9010at7898           -           1033   1.9e-11   40.7   7.4   1   2   8.2e-06   0.00037   16.5   2.9   109   201    59   153    48   155 0.84 -
NODE_16084_length_12443_cov_40.389663:1719-3116    -            466 9010at7898           -           1033   1.9e-11   40.7   7.4   2   2   2.6e-09   1.2e-07   28.1   0.3   105   169   151   216   141   256 0.89 -
NODE_2678_length_21349_cov_75.292329:16965-17528   -            188 9010at7898           -           1033   2.9e-11   40.1  14.2   1   2   1.4e-06   6.3e-05   19.1   1.2   240   298    12    69     4    74 0.90 -
NODE_2678_length_21349_cov_75.292329:16965-17528   -            188 9010at7898           -           1033   2.9e-11   40.1  14.2   2   2   1.6e-08   7.3e-07   25.5   5.9    97   186    73   162    70   177 0.84 -
NODE_93163_length_4268_cov_39.309187:544-2643      -            700 9010at7898           -           1033   2.9e-11   40.1  14.9   1   2     1e-05   0.00046   16.2   8.6   215   354   471   615   374   621 0.72 -
NODE_93163_length_4268_cov_39.309187:544-2643      -            700 9010at7898           -           1033   2.9e-11   40.1  14.9   2   2     5e-09   2.3e-07   27.2   0.5   103   184   618   698   615   700 0.92 -
NODE_4826_length_18301_cov_46.187891:4999-5760     -            254 9010at7898           -           1033   3.3e-11   39.9   5.3   1   3   0.00011     0.005   12.8   0.1   109   170    42   104    33   109 0.82 -
NODE_4826_length_18301_cov_46.187891:4999-5760     -            254 9010at7898           -           1033   3.3e-11   39.9   5.3   2   3   0.00013     0.006   12.5   0.0   106   170   108   175   105   179 0.89 -
NODE_4826_length_18301_cov_46.187891:4999-5760     -            254 9010at7898           -           1033   3.3e-11   39.9   5.3   3   3   1.3e-05   0.00061   15.8   0.5   108   165   181   238   176   252 0.71 -
NODE_214449_length_1035_cov_95.955128:116-802      -            229 9010at7898           -           1033   3.6e-11   39.8  15.3   1   2   3.2e-07   1.5e-05   21.2   4.5   104   211    44   153    35   156 0.87 -
NODE_214449_length_1035_cov_95.955128:116-802      -            229 9010at7898           -           1033   3.6e-11   39.8  15.3   2   2   1.7e-07   7.8e-06   22.1   3.3    34   118   141   226   133   228 0.82 -
NODE_1020_length_26550_cov_31.093683:4676-6073     -            466 9010at7898           -           1033   5.1e-11   39.2  10.5   1   2   2.5e-10   1.2e-08   31.4   9.3    25   270    27   280    13   288 0.82 -
NODE_1020_length_26550_cov_31.093683:4676-6073     -            466 9010at7898           -           1033   5.1e-11   39.2  10.5   2   2     0.007      0.32    6.8   0.1   320   367   284   332   274   336 0.85 -
NODE_2645_length_21408_cov_40.042799:14613-16445   -            328 9010at7898           -           1033   5.4e-11   39.2   7.1   1   2   9.4e-07   4.3e-05   19.6   2.4   211   289    56   134    14   148 0.86 -
NODE_2645_length_21408_cov_40.042799:14613-16445   -            328 9010at7898           -           1033   5.4e-11   39.2   7.1   2   2   8.1e-08   3.7e-06   23.1   0.6   217   286   134   203   129   216 0.65 -
NODE_13316_length_13361_cov_36.080531:10214-11107  -            298 9010at7898           -           1033   8.6e-11   38.5  10.5   1   2   3.6e-07   1.6e-05   21.0   1.0   232   360    68   196    57   203 0.80 -
NODE_13316_length_13361_cov_36.080531:10214-11107  -            298 9010at7898           -           1033   8.6e-11   38.5  10.5   2   2   1.5e-07     7e-06   22.2   5.1    72   176   185   293   170   297 0.81 -
NODE_82945_length_4770_cov_26.614215:569-1405      -            279 9010at7898           -           1033   1.2e-10   38.1   6.8   1   2   0.00082     0.037    9.9   0.8   127   170    34    81     3   114 0.71 -
NODE_82945_length_4770_cov_26.614215:569-1405      -            279 9010at7898           -           1033   1.2e-10   38.1   6.8   2   2   9.2e-10   4.2e-08   29.6   1.0    86   232   114   259   104   277 0.81 -
NODE_80483_length_4900_cov_35.026869:1476-3035     -            520 9010at7898           -           1033   1.3e-10   37.9  11.6   1   2   6.5e-07     3e-05   20.1   4.6    86   185    43   141    35   142 0.92 -
NODE_80483_length_4900_cov_35.026869:1476-3035     -            520 9010at7898           -           1033   1.3e-10   37.9  11.6   2   2   6.5e-09     3e-07   26.8   1.3   132   329   135   343   131   365 0.79 -
NODE_51878_length_6877_cov_27.199616:979-2391      -            471 9010at7898           -           1033   1.8e-10   37.4   7.0   1   2   5.1e-06   0.00023   17.2   0.4   285   368     1    85     1    96 0.78 -
NODE_51878_length_6877_cov_27.199616:979-2391      -            471 9010at7898           -           1033   1.8e-10   37.4   7.0   2   2   7.4e-08   3.4e-06   23.3   1.3   115   208   279   374   252   445 0.49 -
NODE_88901_length_4471_cov_28.353385:1553-2941     -            463 9010at7898           -           1033   2.2e-10   37.1  10.6   1   2   8.6e-05    0.0039   13.1   2.0   113   187    42   118    30   123 0.77 -
NODE_88901_length_4471_cov_28.353385:1553-2941     -            463 9010at7898           -           1033   2.2e-10   37.1  10.6   2   2   1.5e-09   6.7e-08   28.9   1.6   104   169   130   196   118   201 0.86 -
NODE_170390_length_1838_cov_86.915469:12-1829      -            606 9010at7898           -           1033   2.7e-10   36.9  32.4   1   3     0.018      0.82    5.5   2.6   108   231    44   175    40   230 0.73 -
NODE_170390_length_1838_cov_86.915469:12-1829      -            606 9010at7898           -           1033   2.7e-10   36.9  32.4   2   3   4.1e-09   1.9e-07   27.4  11.5    98   234   301   439   281   483 0.71 -
NODE_170390_length_1838_cov_86.915469:12-1829      -            606 9010at7898           -           1033   2.7e-10   36.9  32.4   3   3     2e-05   0.00093   15.2   2.6    92   155   518   581   504   597 0.80 -
NODE_36243_length_8543_cov_22.646850:2132-2953     -            274 9010at7898           -           1033   2.9e-10   36.8   2.7   1   1   1.1e-11   5.2e-10   35.9   2.7   100   296     6   211     1   217 0.85 -
NODE_12434_length_13686_cov_41.918378:9647-10264   -            206 9010at7898           -           1033   3.3e-10   36.6   8.6   1   2   1.1e-05   0.00051   16.1   0.4   127   169    36    78    24    82 0.91 -
NODE_12434_length_13686_cov_41.918378:9647-10264   -            206 9010at7898           -           1033   3.3e-10   36.6   8.6   2   2   3.5e-08   1.6e-06   24.3   3.1    53   163    81   192    73   200 0.73 -
NODE_52856_length_6791_cov_29.340406:1096-4272     -           1059 9010at7898           -           1033   3.5e-10   36.5  44.1   1   6      0.93        43   -0.2   0.6   142   188   108   151    39   166 0.75 -
NODE_52856_length_6791_cov_29.340406:1096-4272     -           1059 9010at7898           -           1033   3.5e-10   36.5  44.1   2   6     0.003      0.14    8.0   0.3    89   161   174   246   134   252 0.74 -
NODE_52856_length_6791_cov_29.340406:1096-4272     -           1059 9010at7898           -           1033   3.5e-10   36.5  44.1   3   6   4.8e-05    0.0022   14.0  11.7   124   316   275   464   271   496 0.80 -
NODE_52856_length_6791_cov_29.340406:1096-4272     -           1059 9010at7898           -           1033   3.5e-10   36.5  44.1   4   6   0.00083     0.038    9.9   1.6   104   180   509   585   491   599 0.77 -
NODE_52856_length_6791_cov_29.340406:1096-4272     -           1059 9010at7898           -           1033   3.5e-10   36.5  44.1   5   6     0.003      0.14    8.0   0.3   103   170   588   662   582   673 0.67 -
NODE_52856_length_6791_cov_29.340406:1096-4272     -           1059 9010at7898           -           1033   3.5e-10   36.5  44.1   6   6   1.6e-05   0.00071   15.6   1.5   127   196   692   762   668   781 0.59 -
NODE_57438_length_6408_cov_33.156602:2163-3638     -            492 9010at7898           -           1033   3.5e-10   36.5   8.9   1   1   1.1e-11   5.1e-10   35.9   8.4   104   232    58   194    15   205 0.81 -
NODE_19702_length_11455_cov_38.305125:2158-3750    -            531 9010at7898           -           1033   5.4e-10   35.9  27.1   1   4   0.00049     0.023   10.6   3.1   235   366    26   161    13   183 0.71 -
NODE_19702_length_11455_cov_38.305125:2158-3750    -            531 9010at7898           -           1033   5.4e-10   35.9  27.1   2   4   1.6e-07   7.2e-06   22.2  10.3   121   302    76   260    71   275 0.81 -
NODE_19702_length_11455_cov_38.305125:2158-3750    -            531 9010at7898           -           1033   5.4e-10   35.9  27.1   3   4   1.5e-07   6.7e-06   22.3   9.1    53   170   241   357   238   374 0.87 -
NODE_19702_length_11455_cov_38.305125:2158-3750    -            531 9010at7898           -           1033   5.4e-10   35.9  27.1   4   4   1.5e-06   6.8e-05   19.0   2.3    94   172   303   383   303   435 0.87 -
