
Fcntl.c: loadable library and perl binaries are mismatched (got handshake key 0xcd00080, needed 0xde00080)
[2023-03-01 17:12:32,412] multiqc                                            [DEBUG  ]  Analysing modules: custom_content, conpair, peddy, somalier, methylQA, mosdepth, phantompeakqualtools, qualimap, preseq, quast, qorts, rna_seqc, rockhopper, rsem, rseqc, busco, goleft_indexcov, disambiguate, supernova, deeptools, sargasso, verifybamid, mirtrace, happy, mirtop, homer, macs2, theta2, snpeff, gatk, htseq, bcftools, featureCounts, fgbio, dragen, dedup, damageprofiler, biobambam2, mtnucratio, picard, prokka, samblaster, samtools, sexdeterrmine, bamtools, jellyfish, vcftools, longranger, stacks, varscan2, bbmap, bismark, biscuit, hicexplorer, hicup, hicpro, salmon, kallisto, slamdunk, star, hisat2, tophat, bowtie2, bowtie1, snpsplit, kat, leehom, adapterRemoval, clipandmerge, cutadapt, flexbar, kaiju, kraken, malt, trimmomatic, sickle, skewer, sortmerna, biobloomtools, fastq_screen, afterqc, fastp, fastqc, pycoqc, minionqc, multivcfanalyzer, clusterflow, bcl2fastq, interop, ivar, flash, seqyclean
[2023-03-01 17:12:32,412] multiqc                                            [DEBUG  ]  Using temporary directory for creating report: /tmp/tmp5tgrz_pp
[2023-03-01 17:12:32,668] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Gma-CRag_001-Ex1-13A-ssl-1-1.2_fastqc.html
[2023-03-01 17:12:32,673] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Gma-CRag_001-Ex1-13A-ssl-1-1.2_fastqc.html
[2023-03-01 17:12:32,713] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Gma-CRag_001-Ex1-11C-ssl-1-1.1.fq.gz
[2023-03-01 17:12:32,713] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Gma-CRag_001-Ex1-11C-ssl-1-1.2.fq.gz
[2023-03-01 17:12:32,789] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Gma-CRag_001-Ex1-13A-ssl-1-1.2.fq.gz
[2023-03-01 17:12:32,789] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Gma-CRag_001-Ex1-12B-ssl-1-1.2.fq.gz
[2023-03-01 17:12:32,790] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Gma-CRag_001-Ex1-13A-ssl-1-1.1.fq.gz
[2023-03-01 17:12:32,806] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Gma-CRag_001-Ex1-11C-ssl-1-1.2_fastqc.html
[2023-03-01 17:12:32,811] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Gma-CRag_001-Ex1-11C-ssl-1-1.2_fastqc.html
[2023-03-01 17:12:32,865] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Multi_fastqc-1227911.out_fastqc.html
[2023-03-01 17:12:32,870] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Multi_fastqc-1227911.out_fastqc.html
[2023-03-01 17:12:32,906] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Gma-CRag_001-Ex1-12B-ssl-1-1.1_fastqc.html
[2023-03-01 17:12:32,911] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Gma-CRag_001-Ex1-12B-ssl-1-1.1_fastqc.html
[2023-03-01 17:12:32,951] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: fq.gz.html
[2023-03-01 17:12:32,976] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Gma-CRag_001-Ex1-12B-ssl-1-1.1.fq.gz
[2023-03-01 17:12:32,992] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Gma-CRag_001-Ex1-13A-ssl-1-1.1_fastqc.html
[2023-03-01 17:12:32,997] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Gma-CRag_001-Ex1-13A-ssl-1-1.1_fastqc.html
[2023-03-01 17:12:33,053] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Gma-CRag_001-Ex1-11C-ssl-1-1.1_fastqc.html
[2023-03-01 17:12:33,058] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Gma-CRag_001-Ex1-11C-ssl-1-1.1_fastqc.html
[2023-03-01 17:12:33,113] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Gma-CRag_001-Ex1-12B-ssl-1-1.2_fastqc.html
[2023-03-01 17:12:33,118] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Gma-CRag_001-Ex1-12B-ssl-1-1.2_fastqc.html
[2023-03-01 17:12:33,168] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: mqc_fastqc_per_base_sequence_quality_plot_1.txt
[2023-03-01 17:12:33,173] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: mqc_fastqc_per_base_sequence_quality_plot_1.txt
[2023-03-01 17:12:33,193] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: mqc_fastqc_per_sequence_gc_content_plot_Counts.txt
[2023-03-01 17:12:33,197] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: mqc_fastqc_per_sequence_gc_content_plot_Counts.txt
[2023-03-01 17:12:33,249] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: mqc_fastqc_per_sequence_quality_scores_plot_1.txt
[2023-03-01 17:12:33,294] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: mqc_fastqc_adapter_content_plot_1.txt
[2023-03-01 17:12:33,299] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: mqc_fastqc_adapter_content_plot_1.txt
[2023-03-01 17:12:33,348] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: multiqc_data.json
[2023-03-01 17:12:33,353] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: multiqc_data.json
[2023-03-01 17:12:33,647] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: mqc_fastqc_per_base_n_content_plot_1.txt
[2023-03-01 17:12:33,651] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: mqc_fastqc_per_base_n_content_plot_1.txt
[2023-03-01 17:12:33,672] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: multiqc.log
[2023-03-01 17:12:33,677] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: multiqc.log
[2023-03-01 17:12:33,701] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: mqc_fastqc_per_sequence_gc_content_plot_Percentages.txt
[2023-03-01 17:12:33,706] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: mqc_fastqc_per_sequence_gc_content_plot_Percentages.txt
[2023-03-01 17:12:33,741] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: mqc_fastqc_per_sequence_gc_content_plot_Percentages.pdf
[2023-03-01 17:12:33,741] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: mqc_fastqc_sequence_counts_plot_1_pc.pdf
[2023-03-01 17:12:33,742] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: mqc_fastqc_per_sequence_gc_content_plot_Counts.pdf
[2023-03-01 17:12:33,742] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: mqc_fastqc_sequence_duplication_levels_plot_1.pdf
[2023-03-01 17:12:33,742] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: mqc_fastqc_adapter_content_plot_1.pdf
[2023-03-01 17:12:33,742] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: mqc_fastqc_per_base_sequence_quality_plot_1.pdf
[2023-03-01 17:12:33,742] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: mqc_fastqc_per_sequence_quality_scores_plot_1.pdf
[2023-03-01 17:12:33,742] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: mqc_fastqc_sequence_counts_plot_1.pdf
[2023-03-01 17:12:33,742] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: mqc_fastqc_per_base_n_content_plot_1.pdf
[2023-03-01 17:12:34,262] multiqc.plots.bargraph                             [DEBUG  ]  Using matplotlib version 3.1.2
[2023-03-01 17:12:34,265] multiqc.plots.linegraph                            [DEBUG  ]  Using matplotlib version 3.1.2
[2023-03-01 17:12:34,267] multiqc                                            [DEBUG  ]  No samples found: custom_content
[2023-03-01 17:12:34,273] multiqc                                            [DEBUG  ]  No samples found: conpair
[2023-03-01 17:12:34,277] multiqc                                            [DEBUG  ]  No samples found: peddy
[2023-03-01 17:12:34,282] multiqc                                            [DEBUG  ]  No samples found: somalier
[2023-03-01 17:12:34,286] multiqc                                            [DEBUG  ]  No samples found: methylQA
[2023-03-01 17:12:34,293] multiqc                                            [DEBUG  ]  No samples found: mosdepth
[2023-03-01 17:12:34,297] multiqc                                            [DEBUG  ]  No samples found: phantompeakqualtools
[2023-03-01 17:12:34,300] multiqc                                            [DEBUG  ]  No samples found: qualimap
[2023-03-01 17:12:34,304] multiqc                                            [DEBUG  ]  No samples found: preseq
[2023-03-01 17:12:34,308] multiqc                                            [DEBUG  ]  No samples found: quast
[2023-03-01 17:12:34,312] multiqc                                            [DEBUG  ]  No samples found: qorts
[2023-03-01 17:12:34,315] multiqc                                            [DEBUG  ]  No samples found: rna_seqc
[2023-03-01 17:12:34,320] multiqc                                            [DEBUG  ]  No samples found: rockhopper
[2023-03-01 17:12:34,323] multiqc                                            [DEBUG  ]  No samples found: rsem
[2023-03-01 17:12:34,328] multiqc                                            [DEBUG  ]  No samples found: rseqc
[2023-03-01 17:12:34,332] multiqc                                            [DEBUG  ]  No samples found: busco
[2023-03-01 17:12:34,336] multiqc                                            [DEBUG  ]  No samples found: goleft_indexcov
[2023-03-01 17:12:34,341] multiqc                                            [DEBUG  ]  No samples found: disambiguate
[2023-03-01 17:12:34,345] multiqc                                            [DEBUG  ]  No samples found: supernova
[2023-03-01 17:12:34,352] multiqc                                            [DEBUG  ]  No samples found: deeptools
[2023-03-01 17:12:34,356] multiqc                                            [DEBUG  ]  No samples found: sargasso
[2023-03-01 17:12:34,360] multiqc                                            [DEBUG  ]  No samples found: verifybamid
[2023-03-01 17:12:34,365] multiqc                                            [DEBUG  ]  No samples found: mirtrace
[2023-03-01 17:12:34,369] multiqc                                            [DEBUG  ]  No samples found: happy
[2023-03-01 17:12:34,374] multiqc                                            [DEBUG  ]  No samples found: mirtop
[2023-03-01 17:12:34,379] multiqc                                            [DEBUG  ]  No samples found: homer
[2023-03-01 17:12:34,382] multiqc                                            [DEBUG  ]  No samples found: macs2
[2023-03-01 17:12:34,386] multiqc                                            [DEBUG  ]  No samples found: theta2
[2023-03-01 17:12:34,391] multiqc                                            [DEBUG  ]  No samples found: snpeff
[2023-03-01 17:12:34,396] multiqc                                            [DEBUG  ]  No samples found: gatk
[2023-03-01 17:12:34,400] multiqc                                            [DEBUG  ]  No samples found: htseq
[2023-03-01 17:12:34,404] multiqc                                            [DEBUG  ]  No samples found: bcftools
[2023-03-01 17:12:34,408] multiqc                                            [DEBUG  ]  No samples found: featureCounts
[2023-03-01 17:12:34,412] multiqc                                            [DEBUG  ]  No samples found: fgbio
[2023-03-01 17:12:34,419] multiqc                                            [DEBUG  ]  No samples found: dragen
[2023-03-01 17:12:34,423] multiqc                                            [DEBUG  ]  No samples found: dedup
[2023-03-01 17:12:34,426] multiqc                                            [DEBUG  ]  No samples found: damageprofiler
[2023-03-01 17:12:34,437] multiqc                                            [DEBUG  ]  No samples found: biobambam2
[2023-03-01 17:12:34,441] multiqc                                            [DEBUG  ]  No samples found: mtnucratio
[2023-03-01 17:12:34,444] multiqc                                            [DEBUG  ]  No samples found: picard
[2023-03-01 17:12:34,448] multiqc                                            [DEBUG  ]  No samples found: prokka
[2023-03-01 17:12:34,452] multiqc                                            [DEBUG  ]  No samples found: samblaster
[2023-03-01 17:12:34,456] multiqc                                            [DEBUG  ]  No samples found: samtools
[2023-03-01 17:12:34,460] multiqc                                            [DEBUG  ]  No samples found: sexdeterrmine
[2023-03-01 17:12:34,464] multiqc                                            [DEBUG  ]  No samples found: bamtools
[2023-03-01 17:12:34,468] multiqc                                            [DEBUG  ]  No samples found: jellyfish
[2023-03-01 17:12:34,473] multiqc                                            [DEBUG  ]  No samples found: vcftools
[2023-03-01 17:12:34,477] multiqc                                            [DEBUG  ]  No samples found: longranger
[2023-03-01 17:12:34,482] multiqc                                            [DEBUG  ]  No samples found: stacks
[2023-03-01 17:12:34,486] multiqc                                            [DEBUG  ]  No samples found: varscan2
[2023-03-01 17:12:34,492] multiqc                                            [DEBUG  ]  No samples found: bbmap
[2023-03-01 17:12:34,497] multiqc                                            [DEBUG  ]  No samples found: bismark
[2023-03-01 17:12:34,501] multiqc                                            [DEBUG  ]  No samples found: biscuit
[2023-03-01 17:12:34,505] multiqc                                            [DEBUG  ]  No samples found: hicexplorer
[2023-03-01 17:12:34,509] multiqc                                            [DEBUG  ]  No samples found: hicup
[2023-03-01 17:12:34,512] multiqc                                            [DEBUG  ]  No samples found: hicpro
[2023-03-01 17:12:34,516] multiqc                                            [DEBUG  ]  No samples found: salmon
[2023-03-01 17:12:34,520] multiqc                                            [DEBUG  ]  No samples found: kallisto
[2023-03-01 17:12:34,524] multiqc                                            [DEBUG  ]  No samples found: slamdunk
[2023-03-01 17:12:34,528] multiqc                                            [DEBUG  ]  No samples found: star
[2023-03-01 17:12:34,532] multiqc                                            [DEBUG  ]  No samples found: hisat2
[2023-03-01 17:12:34,536] multiqc                                            [DEBUG  ]  No samples found: tophat
[2023-03-01 17:12:34,540] multiqc                                            [DEBUG  ]  No samples found: bowtie2
[2023-03-01 17:12:34,543] multiqc                                            [DEBUG  ]  No samples found: bowtie1
[2023-03-01 17:12:34,547] multiqc                                            [DEBUG  ]  No samples found: snpsplit
[2023-03-01 17:12:34,551] multiqc                                            [DEBUG  ]  No samples found: kat
[2023-03-01 17:12:34,554] multiqc                                            [DEBUG  ]  No samples found: leehom
[2023-03-01 17:12:34,558] multiqc                                            [DEBUG  ]  No samples found: adapterRemoval
[2023-03-01 17:12:34,562] multiqc                                            [DEBUG  ]  No samples found: clipandmerge
[2023-03-01 17:12:34,567] multiqc                                            [DEBUG  ]  No samples found: cutadapt
[2023-03-01 17:12:34,571] multiqc                                            [DEBUG  ]  No samples found: flexbar
[2023-03-01 17:12:34,575] multiqc                                            [DEBUG  ]  No samples found: kaiju
[2023-03-01 17:12:34,579] multiqc                                            [DEBUG  ]  No samples found: kraken
[2023-03-01 17:12:34,582] multiqc                                            [DEBUG  ]  No samples found: malt
[2023-03-01 17:12:34,586] multiqc                                            [DEBUG  ]  No samples found: trimmomatic
[2023-03-01 17:12:34,590] multiqc                                            [DEBUG  ]  No samples found: sickle
[2023-03-01 17:12:34,594] multiqc                                            [DEBUG  ]  No samples found: skewer
[2023-03-01 17:12:34,597] multiqc                                            [DEBUG  ]  No samples found: sortmerna
[2023-03-01 17:12:34,601] multiqc                                            [DEBUG  ]  No samples found: biobloomtools
[2023-03-01 17:12:34,606] multiqc                                            [DEBUG  ]  No samples found: fastq_screen
[2023-03-01 17:12:34,610] multiqc                                            [DEBUG  ]  No samples found: afterqc
[2023-03-01 17:12:34,614] multiqc                                            [DEBUG  ]  No samples found: fastp
[2023-03-01 17:12:35,609] multiqc.modules.fastqc.fastqc                      [INFO   ]  Found 7 reports
[2023-03-01 17:12:35,609] multiqc.modules.fastqc.fastqc                      [WARNING]  Sample had zero reads: 'Multi'
[2023-03-01 17:12:47,753] multiqc                                            [DEBUG  ]  No samples found: pycoqc
[2023-03-01 17:12:47,758] multiqc                                            [DEBUG  ]  No samples found: minionqc
[2023-03-01 17:12:47,763] multiqc                                            [DEBUG  ]  No samples found: multivcfanalyzer
[2023-03-01 17:12:47,768] multiqc                                            [DEBUG  ]  No samples found: clusterflow
[2023-03-01 17:12:47,772] multiqc                                            [DEBUG  ]  No samples found: bcl2fastq
[2023-03-01 17:12:47,776] multiqc                                            [DEBUG  ]  No samples found: interop
[2023-03-01 17:12:47,779] multiqc                                            [DEBUG  ]  No samples found: ivar
[2023-03-01 17:12:47,783] multiqc                                            [DEBUG  ]  No samples found: flash
[2023-03-01 17:12:47,787] multiqc                                            [DEBUG  ]  No samples found: seqyclean
[2023-03-01 17:12:47,798] multiqc                                            [INFO   ]  Compressing plot data
[2023-03-01 17:12:47,937] multiqc                                            [INFO   ]  Report      : fq_raw/fqc_raw_report.html
[2023-03-01 17:12:47,937] multiqc                                            [INFO   ]  Data        : fq_raw/fqc_raw_report_data
[2023-03-01 17:12:47,937] multiqc                                            [DEBUG  ]  Moving data file from '/tmp/tmp5tgrz_pp/multiqc_data' to 'fq_raw/fqc_raw_report_data'
[2023-03-01 17:12:48,001] multiqc                                            [INFO   ]  Plots       : fq_raw/fqc_raw_report_plots
[2023-03-01 17:12:48,001] multiqc                                            [DEBUG  ]  Moving plots directory from '/tmp/tmp5tgrz_pp/multiqc_plots' to 'fq_raw/fqc_raw_report_plots'
[2023-03-01 17:12:48,274] multiqc                                            [INFO   ]  MultiQC complete
mv: target '../logs' is not a directory
